id,sales_date,sales_amount,producto
2,2024-01-01,4986,Mouse
3,2024-01-02,5143,Teclado
4,2024-01-03,3345,Mouse
5,2024-01-04,5262,Auriculares
6,2024-01-05,3461,Monitor
7,2024-01-06,1950,Mouse
8,2024-01-07,4757,Teclado
9,2024-01-08,8158,Webcam
10,2024-01-09,5708,Mouse
11,2024-01-10,6630,Auriculares
12,2024-01-11,6123,Notebook
13,2024-01-12,5896,Mouse
14,2024-01-13,7084,Teclado
15,2024-01-14,4923,Monitor
16,2024-01-15,1951,Mouse
17,2024-01-16,5537,Auriculares
18,2024-01-17,2780,Webcam
19,2024-01-18,6289,Teclado
20,2024-01-19,2627,Mouse
21,2024-01-20,6485,Notebook
22,2024-01-21,6802,Mouse
23,2024-01-22,5644,Teclado
24,2024-01-23,4402,Mouse
25,2024-01-24,1423,Auriculares
26,2024-01-25,4103,Monitor
27,2024-01-26,4231,Mouse
28,2024-01-27,3532,Teclado
29,2024-01-28,6359,Webcam
30,2024-01-29,5631,Mouse
31,2024-01-30,3006,Auriculares
32,2024-01-31,5759,Notebook
33,2024-02-01,8139,Mouse
34,2024-02-02,5226,Teclado
35,2024-02-03,2670,Monitor
36,2024-02-04,5161,Mouse
37,2024-02-05,1185,Auriculares
38,2024-02-06,7828,Webcam
39,2024-02-07,4554,Teclado
40,2024-02-08,2538,Mouse
41,2024-02-09,3910,Notebook
42,2024-02-10,2138,Mouse
43,2024-02-11,5824,Teclado
44,2024-02-12,6824,Mouse
45,2024-02-13,3110,Auriculares
46,2024-02-14,3908,Monitor
47,2024-02-15,5034,Mouse
48,2024-02-16,5610,Teclado
49,2024-02-17,3886,Webcam
50,2024-02-18,2182,Mouse
51,2024-02-19,7839,Auriculares
52,2024-02-20,6759,Notebook
53,2024-02-21,2988,Mouse
54,2024-02-22,8378,Teclado
55,2024-02-23,3687,Monitor
56,2024-02-24,2129,Mouse
57,2024-02-25,3176,Auriculares
58,2024-02-26,4755,Webcam
59,2024-02-27,8677,Teclado
60,2024-02-28,6840,Mouse
61,2024-02-29,1096,Notebook
62,2024-03-01,6821,Mouse
63,2024-03-02,1194,Teclado
64,2024-03-03,7062,Mouse
65,2024-03-04,3336,Auriculares
66,2024-03-05,5460,Monitor
67,2024-03-06,3851,Mouse
68,2024-03-07,2204,Teclado
69,2024-03-08,2737,Webcam
70,2024-03-09,7020,Mouse
71,2024-03-10,7182,Auriculares
72,2024-03-11,1451,Notebook
73,2024-03-12,7700,Mouse
74,2024-03-13,7353,Teclado
75,2024-03-14,7923,Monitor
76,2024-03-15,5953,Mouse
77,2024-03-16,5148,Auriculares
78,2024-03-17,6748,Webcam
79,2024-03-18,3184,Teclado
80,2024-03-19,4594,Mouse
81,2024-03-20,8960,Notebook
82,2024-03-21,8948,Mouse
83,2024-03-22,5657,Teclado
84,2024-03-23,1089,Mouse
85,2024-03-24,4110,Auriculares
86,2024-03-25,4898,Monitor
87,2024-03-26,7982,Mouse
88,2024-03-27,1280,Teclado
89,2024-03-28,2410,Webcam
90,2024-03-29,4629,Mouse
91,2024-03-30,6766,Auriculares
92,2024-03-31,1845,Notebook
93,2024-04-01,2672,Mouse
94,2024-04-02,8603,Teclado
95,2024-04-03,2208,Monitor
96,2024-04-04,7242,Mouse
97,2024-04-05,4253,Auriculares
98,2024-04-06,3143,Webcam
99,2024-04-07,6120,Teclado
100,2024-04-08,8550,Mouse
101,2024-04-09,6393,Notebook
102,2024-04-10,6997,Mouse
103,2024-04-11,7153,Teclado
104,2024-04-12,5983,Mouse
105,2024-04-13,8376,Auriculares
106,2024-04-14,7807,Monitor
107,2024-04-15,5347,Mouse
108,2024-04-16,2203,Teclado
109,2024-04-17,7504,Webcam
110,2024-04-18,4292,Mouse
111,2024-04-19,6631,Auriculares
112,2024-04-20,4138,Notebook
113,2024-04-21,1003,Mouse
114,2024-04-22,8097,Teclado
115,2024-04-23,5721,Monitor
116,2024-04-24,6910,Mouse
117,2024-04-25,2409,Auriculares
118,2024-04-26,6801,Webcam
119,2024-04-27,2870,Teclado
120,2024-04-28,6514,Mouse
121,2024-04-29,2644,Notebook
122,2024-04-30,2281,Mouse
123,2024-05-01,4256,Teclado
124,2024-05-02,2317,Mouse
125,2024-05-03,8916,Auriculares
126,2024-05-04,4586,Monitor
127,2024-05-05,3282,Mouse
128,2024-05-06,1971,Teclado
129,2024-05-07,4710,Webcam
130,2024-05-08,8747,Mouse
131,2024-05-09,2896,Auriculares
132,2024-05-10,6239,Notebook
133,2024-05-11,3606,Mouse
134,2024-05-12,6373,Teclado
135,2024-05-13,1049,Monitor
136,2024-05-14,5317,Mouse
137,2024-05-15,6247,Auriculares
138,2024-05-16,1665,Webcam
139,2024-05-17,2716,Teclado
140,2024-05-18,1588,Mouse
141,2024-05-19,5774,Notebook
142,2024-05-20,4395,Mouse
143,2024-05-21,6423,Teclado
144,2024-05-22,2335,Mouse
145,2024-05-23,6160,Auriculares
146,2024-05-24,4680,Monitor
147,2024-05-25,5045,Mouse
148,2024-05-26,7809,Teclado
149,2024-05-27,8294,Webcam
150,2024-05-28,3825,Mouse
151,2024-05-29,3640,Auriculares
152,2024-05-30,7140,Notebook
153,2024-05-31,8350,Mouse
154,2024-06-01,2244,Teclado
155,2024-06-02,3406,Monitor
156,2024-06-03,6935,Mouse
157,2024-06-04,1869,Auriculares
158,2024-06-05,5445,Webcam
159,2024-06-06,6366,Teclado
160,2024-06-07,2993,Mouse
161,2024-06-08,3163,Notebook
162,2024-06-09,2286,Mouse
163,2024-06-10,8188,Teclado
164,2024-06-11,4453,Mouse
165,2024-06-12,5043,Auriculares
166,2024-06-13,8209,Monitor
167,2024-06-14,2572,Mouse
168,2024-06-15,3745,Teclado
